	g1_01_R1	g1_01_R2	g1_02_R1	g1_02_R2	g1_03_R1	g1_03_R2	g3_01_R1	g3_01_R2	g3_02_R1	g3_02_R2	g3_03_R1	g3_03_R2
CG31344	0	0	0	0	0	0	0	0	0	0	0	0
CG31345	0	0	0	0	0	0	0	0	0	0	0	0
CG31347	0	0	0	0	0	0	0	0	0	0	0	0
CG31357	0	0	0	0	0	0	0	0	0	0	0	0
CG31358	0	0	0	0	0	0	0	0	0	0	0	0
CG31360	0	0	0	0	0	0	0	0	0	0	0	0
CG31365	0	0	0	0	0	0	0	0	0	0	0	0
CG31368	0	0	0	0	0	0	0	0	0	0	0	0
CG31370	0	0	0	0	0	0	0	0	0	0	0	0
CG31371	0	0	0	0	0	0	0	0	0	0	0	0
CG31373	0	0	0	0	0	0	0	0	0	0	0	0
CG31380	0	0	0	0	0	0	0	0	0	0	0	0
CG31381	0	0	0	0	0	0	0	0	0	0	0	0
CG31388	0	0	0	0	0	0	0	0	0	0	0	0
CG31391	0	0	0	0	0	0	0	0	0	0	0	0
CG31404	0	0	0	0	0	0	0	0	0	0	0	0
CG31406	0	0	0	0	0	0	0	0	0	0	0	0
CG31407	0	0	0	0	0	0	0	0	0	0	0	0
CG31415	0	0	0	0	0	0	0	0	0	0	0	0
CG31418	0	0	0	0	0	0	0	0	0	0	0	0
CG31419	0	0	0	0	0	0	0	0	0	0	0	0
CG31431	0	0	0	0	0	0	0	0	0	0	0	0
CG31436	0	0	0	0	0	0	0	0	0	0	0	0
CG31437	0	0	0	0	0	0	0	0	0	0	0	0
CG31441	0	0	0	0	0	0	0	0	0	0	0	0
CG31445	0	0	0	0	0	0	0	0	0	0	0	0
CG31446	0	0	0	0	0	0	0	0	0	0	0	0
CG31454	0	0	0	0	0	0	0	0	0	0	0	0
CG31457	0	0	0	0	0	0	0	0	0	0	0	0
CG31459	0	0	0	0	0	0	0	0	0	0	0	0
CG31460	0	0	0	0	0	0	0	0	0	0	0	0
CG31463	0	0	0	0	0	0	0	0	0	0	0	0
CG31464	0	0	0	0	0	0	0	0	0	0	0	0
CG31465	0	0	0	0	0	0	0	0	0	0	0	0
CG31467	0	0	0	0	0	0	0	0	0	0	0	0
CG31468	0	0	0	0	0	0	0	0	0	0	0	0
CG31469	0	0	0	0	0	0	0	0	0	0	0	0
CG31473	0	0	0	0	0	0	0	0	0	0	0	0
CG31475	0	0	0	0	0	0	0	0	0	0	0	0
CG31482	0	0	0	0	0	0	0	0	0	0	0	0
CG3149	0	0	0	0	0	0	0	0	0	0	0	0
CG31493	0	0	0	0	0	0	0	0	0	0	0	0
CG31495	0	0	0	0	0	0	0	0	0	0	0	0
CG31496	0	0	0	0	0	0	0	0	0	0	0	0
CG31510	0	0	0	0	0	0	0	0	0	0	0	0
CG31515	0	0	0	0	0	0	0	0	0	0	0	0
CG31516	0	0	0	0	0	0	0	0	0	0	0	0
CG31517	0	0	0	0	0	0	0	0	0	0	0	0
CG31522	0	0	0	0	0	0	0	0	0	0	0	0
CG31523	0	0	0	0	0	0	0	0	0	0	0	0
CG31524	0	0	0	0	0	0	0	0	0	0	0	0
CG31525	0	0	0	0	0	0	0	0	0	0	0	0
CG31528	0	0	0	0	0	0	0	0	0	0	0	0
CG31533	0	0	0	0	0	0	0	0	0	0	0	0
CG31538	0	0	0	0	0	0	0	0	0	0	0	0
CG31542	0	0	0	0	0	0	0	0	0	0	0	0
CG31546	0	0	0	0	0	0	0	0	0	0	0	0
CG31548	0	0	0	0	0	0	0	0	0	0	0	0
CG31549	0	0	0	0	0	0	0	0	0	0	0	0
CG31550	0	0	0	0	0	0	0	0	0	0	0	0
CG31551	0	0	0	0	0	0	0	0	0	0	0	0
CG31559	0	0	0	0	0	0	0	0	0	0	0	0
CG3156	0	0	0	0	0	0	0	0	0	0	0	0
CG31560	0	0	0	0	0	0	0	0	0	0	0	0
CG31600	0	0	0	0	0	0	0	0	0	0	0	0
CG31601	0	0	0	0	0	0	0	0	0	0	0	0
CG31606	0	0	0	0	0	0	0	0	0	0	0	0
CG31609	0	0	0	0	0	0	0	0	0	0	0	0
CG31612	0	0	0	0	0	0	0	0	0	0	0	0
CG31624	0	0	0	0	0	0	0	0	0	0	0	0
CG31626	0	0	0	0	0	0	0	0	0	0	0	0
CG31627	0	0	0	0	0	0	0	0	0	0	0	0
CG3163	0	0	0	0	0	0	0	0	0	0	0	0
CG31633	0	0	0	0	0	0	0	0	0	0	0	0
CG31635	0	0	0	0	0	0	0	0	0	0	0	0
CG31636	0	0	0	0	0	0	0	0	0	0	0	0
CG31637	0	0	0	0	0	0	0	0	0	0	0	0
CG31638	0	0	0	0	0	0	0	0	0	0	0	0
CG31639	0	0	0	0	0	0	0	0	0	0	0	0
CG3164	0	0	0	0	0	0	0	0	0	0	0	0
CG31642	0	0	0	0	0	0	0	0	0	0	0	0
CG31643	0	0	0	0	0	0	0	0	0	0	0	0
CG31644	0	0	0	0	0	0	0	0	0	0	0	0
CG31648	0	0	0	0	0	0	0	0	0	0	0	0
CG3165	0	0	0	0	0	0	0	0	0	0	0	0
CG31650	0	0	0	0	0	0	0	0	0	0	0	0
CG31659	0	0	0	0	0	0	0	0	0	0	0	0
CG31661	0	0	0	0	0	0	0	0	0	0	0	0
CG31663	0	0	0	0	0	0	0	0	0	0	0	0
CG31664	0	0	0	0	0	0	0	0	0	0	0	0
CG31668	0	0	0	0	0	0	0	0	0	0	0	0
CG31673	0	0	0	0	0	0	0	0	0	0	0	0
CG31674	0	0	0	0	0	0	0	0	0	0	0	0
CG31675	0	0	0	0	0	0	0	0	0	0	0	0
CG31676	0	0	0	0	0	0	0	0	0	0	0	0
CG31677	0	0	0	0	0	0	0	0	0	0	0	0
CG31678	0	0	0	0	0	0	0	0	0	0	0	0
CG3168	0	0	0	0	0	0	0	0	0	0	0	0
CG31680	0	0	0	0	0	0	0	0	0	0	0	0
CG31681	0	0	0	0	0	0	0	0	0	0	0	0
CG31683	0	0	0	0	0	0	0	0	0	0	0	0
CG31687	0	0	0	0	0	0	0	0	0	0	0	0
CG31688	0	0	0	0	0	0	0	0	0	0	0	0
CG31689	0	0	0	0	0	0	0	0	0	0	0	0
CG31690	0	0	0	0	0	0	0	0	0	0	0	0
CG31693	0	0	0	0	0	0	0	0	0	0	0	0
CG31694	0	0	0	0	0	0	0	0	0	0	0	0
CG31697	0	0	0	0	0	0	0	0	0	0	0	0
CG31698	0	0	0	0	0	0	0	0	0	0	0	0
CG31702	0	0	0	0	0	0	0	0	0	0	0	0
CG31703	0	0	0	0	0	0	0	0	0	0	0	0
CG31704	0	0	0	0	0	0	0	0	0	0	0	0
CG31705	0	0	0	0	0	0	0	0	0	0	0	0
CG31706	0	0	0	0	0	0	0	0	0	0	0	0
CG31709	0	0	0	0	0	0	0	0	0	0	0	0
CG31710	0	0	0	0	0	0	0	0	0	0	0	0
CG31712	0	0	0	0	0	0	0	0	0	0	0	0
CG31715	0	0	0	0	0	0	0	0	0	0	0	0
CG31717	0	0	0	0	0	0	0	0	0	0	0	0
CG31729	0	0	0	0	0	0	0	0	0	0	0	0
CG31730	0	0	0	0	0	0	0	0	0	0	0	0
CG31735	0	0	0	0	0	0	0	0	0	0	0	0
CG31740	0	0	0	0	0	0	0	0	0	0	0	0
CG31741	0	0	0	0	0	0	0	0	0	0	0	0
CG31743	0	0	0	0	0	0	0	0	0	0	0	0
CG31750	0	0	0	0	0	0	0	0	0	0	0	0
CG31751	0	0	0	0	0	0	0	0	0	0	0	0
CG31752	0	0	0	0	0	0	0	0	0	0	0	0
CG31759	0	0	0	0	0	0	0	0	0	0	0	0
CG3176	0	0	0	0	0	0	0	0	0	0	0	0
CG31760	0	0	0	0	0	0	0	0	0	0	0	0
CG31769	0	0	0	0	0	0	0	0	0	0	0	0
CG31773	0	0	0	0	0	0	0	0	0	0	0	0
CG31775	0	0	0	0	0	0	0	0	0	0	0	0
CG31776	0	0	0	0	0	0	0	0	0	0	0	0
CG31777	0	0	0	0	0	0	0	0	0	0	0	0
CG31778	0	0	0	0	0	0	0	0	0	0	0	0
CG31780	0	0	0	0	0	0	0	0	0	0	0	0
CG31784	0	0	0	0	0	0	0	0	0	0	0	0
CG31785	0	0	0	0	0	0	0	0	0	0	0	0
CG31787	0	0	0	0	0	0	0	0	0	0	0	0
CG31788	0	0	0	0	0	0	0	0	0	0	0	0
CG31789	0	0	0	0	0	0	0	0	0	0	0	0
CG31792	0	0	0	0	0	0	0	0	0	0	0	0
CG31793	0	0	0	0	0	0	0	0	0	0	0	0
CG31797	0	0	0	0	0	0	0	0	0	0	0	0
CG31798	0	0	0	0	0	0	0	0	0	0	0	0
CG31800	0	0	0	0	0	0	0	0	0	0	0	0
CG31802	0	0	0	0	0	0	0	0	0	0	0	0
CG31803	0	0	0	0	0	0	0	0	0	0	0	0
CG31804	0	0	0	0	0	0	0	0	0	0	0	0
CG31805	0	0	0	0	0	0	0	0	0	0	0	0
CG31806	0	0	0	0	0	0	0	0	0	0	0	0
CG31807	0	0	0	0	0	0	0	0	0	0	0	0
CG31808	0	0	0	0	0	0	0	0	0	0	0	0
CG31809	0	0	0	0	0	0	0	0	0	0	0	0
CG31810	0	0	0	0	0	0	0	0	0	0	0	0
CG31812	0	0	0	0	0	0	0	0	0	0	0	0
CG31813	0	0	0	0	0	0	0	0	0	0	0	0
CG31815	0	0	0	0	0	0	0	0	0	0	0	0
CG31816	0	0	0	0	0	0	0	0	0	0	0	0
CG31817	0	0	0	0	0	0	0	0	0	0	0	0
CG31819	0	0	0	0	0	0	0	0	0	0	0	0
CG31820	0	0	0	0	0	0	0	0	0	0	0	0
CG31821	0	0	0	0	0	0	0	0	0	0	0	0
CG31823	0	0	0	0	0	0	0	0	0	0	0	0
CG31826	0	0	0	0	0	0	0	0	0	0	0	0
CG31827	0	0	0	0	0	0	0	0	0	0	0	0
CG31832	0	0	0	0	0	0	0	0	0	0	0	0
CG31835	0	0	0	0	0	0	0	0	0	0	0	0
CG3184	0	0	0	0	0	0	0	0	0	0	0	0
CG31848	0	0	0	0	0	0	0	0	0	0	0	0
CG31849	0	0	0	0	0	0	0	0	0	0	0	0
CG31855	0	0	0	0	0	0	0	0	0	0	0	0
CG31861	0	0	0	0	0	0	0	0	0	0	0	0
CG31862	0	0	0	0	0	0	0	0	0	0	0	0
CG31867	0	0	0	0	0	0	0	0	0	0	0	0
CG31869	0	0	0	0	0	0	0	0	0	0	0	0
CG31870	0	0	0	0	0	0	0	0	0	0	0	0
CG31871	0	0	0	0	0	0	0	0	0	0	0	0
CG31872	0	0	0	0	0	0	0	0	0	0	0	0
CG31875	0	0	0	0	0	0	0	0	0	0	0	0
CG31882	0	0	0	0	0	0	0	0	0	0	0	0
CG31883	0	0	0	0	0	0	0	0	0	0	0	0
CG31886	0	0	0	0	0	0	0	0	0	0	0	0
CG31897	0	0	0	0	0	0	0	0	0	0	0	0
CG31898	0	0	0	0	0	0	0	0	0	0	0	0
CG31904	0	0	0	0	0	0	0	0	0	0	0	0
CG31907	0	0	0	0	0	0	0	0	0	0	0	0
CG31908	0	0	0	0	0	0	0	0	0	0	0	0
CG31909	0	0	0	0	0	0	0	0	0	0	0	0
CG3191	0	0	0	0	0	0	0	0	0	0	0	0
CG31910	0	0	0	0	0	0	0	0	0	0	0	0
CG31913	0	0	0	0	0	0	0	0	0	0	0	0
CG31915	0	0	0	0	0	0	0	0	0	0	0	0
CG31917	0	0	0	0	0	0	0	0	0	0	0	0
CG31921	0	0	0	0	0	0	0	0	0	0	0	0
CG31922	0	0	0	0	0	0	0	0	0	0	0	0
CG31924	0	0	0	0	0	0	0	0	0	0	0	0
CG31926	0	0	0	0	0	0	0	0	0	0	0	0
CG31928	0	0	0	0	0	0	0	0	0	0	0	0
CG31933	0	0	0	0	0	0	0	0	0	0	0	0
CG31935	0	0	0	0	0	0	0	0	0	0	0	0
CG31937	0	0	0	0	0	0	0	0	0	0	0	0
CG31948	0	0	0	0	0	0	0	0	0	0	0	0
CG31949	0	0	0	0	0	0	0	0	0	0	0	0
CG31952	0	0	0	0	0	0	0	0	0	0	0	0
CG31954	0	0	0	0	0	0	0	0	0	0	0	0
CG31955	0	0	0	0	0	0	0	0	0	0	0	0
CG31957	0	0	0	0	0	0	0	0	0	0	0	0
CG31960	0	0	0	0	0	0	0	0	0	0	0	0
CG31974	0	0	0	0	0	0	0	0	0	0	0	0
CG31975	0	0	0	0	0	0	0	0	0	0	0	0
CG3198	0	0	0	0	0	0	0	0	0	0	0	0
CG31988	0	0	0	0	0	0	0	0	0	0	0	0
CG3199	0	0	0	0	0	0	0	0	0	0	0	0
CG31997	208.797882007953	236.908878386326	231.152174630509	251.536399178375	222.206792674633	230.108542022455	144.226045061702	119.191470209119	271.108567374887	277.209435539	203.78151635071	211.642504758892
CG31998	240.166577896472	233.947517406497	201.892405689939	180.912717870601	173.856240564875	187.02438947357	209.961725463974	213.591114614741	206.869991169593	194.476386947903	195.75071767679	183.820954837535
CG31999	89.2047289329754	123.390040826211	119.96505265634	118.996065765155	122.419483001303	96.9393432349916	108.905380964959	102.981430260679	107.79015329363	99.9243314152209	107.411932263675	97.3754247247484
CG32006	5.88163047909728	5.92272195965815	8.77793068217124	15.4791630263616	14.4022921178003	9.79185285201936	8.83016602418583	9.53531761672951	8.71031541766706	6.44673105904651	8.03079867391959	11.9235213948671
CG32017	37.2503263676161	48.3688960038749	36.0870483600373	38.6979075659039	28.8045842356006	40.1465966932794	44.1508301209292	41.0018657519369	35.9300510978766	37.6059311777713	43.1655428723178	36.764190967507
CG32022	0	0	0	0	0	0	0	0	0	0	0	0
CG32023	0	0	0	0	0	0	0	0	0	0	0	0
CG32024	0	0	0	0	0	0	0	0	0	0	0	0
CG32026	0	0	0	0	0	0	0	0	0	0	0	0
CG32032	0	0	0	0	0	0	0	0	0	0	0	0
CG32036	0	0	0	0	0	0	0	0	0	0	0	0
CG32037	0	0	0	0	0	0	0	0	0	0	0	0
CG32039	0	0	0	0	0	0	0	0	0	0	0	0
CG32040	0	0	0	0	0	0	0	0	0	0	0	0
CG32052	0	0	0	0	0	0	0	0	0	0	0	0
CG32053	0	0	0	0	0	0	0	0	0	0	0	0
CG32054	0	0	0	0	0	0	0	0	0	0	0	0
CG32055	0	0	0	0	0	0	0	0	0	0	0	0
CG32061	0	0	0	0	0	0	0	0	0	0	0	0
CG32066	0	0	0	0	0	0	0	0	0	0	0	0
CG32069	0	0	0	0	0	0	0	0	0	0	0	0
CG32071	0	0	0	0	0	0	0	0	0	0	0	0
CG32073	0	0	0	0	0	0	0	0	0	0	0	0
CG32074	0	0	0	0	0	0	0	0	0	0	0	0
CG32075	0	0	0	0	0	0	0	0	0	0	0	0
CG32079	0	0	0	0	0	0	0	0	0	0	0	0
CG32081	0	0	0	0	0	0	0	0	0	0	0	0
CG32085	0	0	0	0	0	0	0	0	0	0	0	0
CG32086	0	0	0	0	0	0	0	0	0	0	0	0
CG32087	0	0	0	0	0	0	0	0	0	0	0	0
CG32091	0	0	0	0	0	0	0	0	0	0	0	0
CG32095	0	0	0	0	0	0	0	0	0	0	0	0
CG32099	0	0	0	0	0	0	0	0	0	0	0	0
CG32100	0	0	0	0	0	0	0	0	0	0	0	0
CG32102	0	0	0	0	0	0	0	0	0	0	0	0
CG32104	0	0	0	0	0	0	0	0	0	0	0	0
CG32106	0	0	0	0	0	0	0	0	0	0	0	0
CG32107	0	0	0	0	0	0	0	0	0	0	0	0
CG32109	0	0	0	0	0	0	0	0	0	0	0	0
CG32110	0	0	0	0	0	0	0	0	0	0	0	0
CG32112	0	0	0	0	0	0	0	0	0	0	0	0
CG32115	0	0	0	0	0	0	0	0	0	0	0	0
CG32117	0	0	0	0	0	0	0	0	0	0	0	0
CG32119	0	0	0	0	0	0	0	0	0	0	0	0
CG32121	0	0	0	0	0	0	0	0	0	0	0	0
CG3213	0	0	0	0	0	0	0	0	0	0	0	0
CG32137	0	0	0	0	0	0	0	0	0	0	0	0
CG32147	0	0	0	0	0	0	0	0	0	0	0	0
CG32148	0	0	0	0	0	0	0	0	0	0	0	0
CG32152	0	0	0	0	0	0	0	0	0	0	0	0
CG3216	0	0	0	0	0	0	0	0	0	0	0	0
CG32161	0	0	0	0	0	0	0	0	0	0	0	0
CG32163	0	0	0	0	0	0	0	0	0	0	0	0
CG32170	0	0	0	0	0	0	0	0	0	0	0	0
CG32176	0	0	0	0	0	0	0	0	0	0	0	0
CG32181	0	0	0	0	0	0	0	0	0	0	0	0
CG32182	0	0	0	0	0	0	0	0	0	0	0	0
CG32187	0	0	0	0	0	0	0	0	0	0	0	0
CG32188	0	0	0	0	0	0	0	0	0	0	0	0
CG32189	0	0	0	0	0	0	0	0	0	0	0	0
CG32191	0	0	0	0	0	0	0	0	0	0	0	0
CG32192	0	0	0	0	0	0	0	0	0	0	0	0
CG32195	0	0	0	0	0	0	0	0	0	0	0	0
CG32196	0	0	0	0	0	0	0	0	0	0	0	0
CG32198	0	0	0	0	0	0	0	0	0	0	0	0
CG32199	0	0	0	0	0	0	0	0	0	0	0	0
CG32201	0	0	0	0	0	0	0	0	0	0	0	0
CG32202	0	0	0	0	0	0	0	0	0	0	0	0
CG32204	0	0	0	0	0	0	0	0	0	0	0	0
CG32206	0	0	0	0	0	0	0	0	0	0	0	0
CG32212	0	0	0	0	0	0	0	0	0	0	0	0
CG32213	0	0	0	0	0	0	0	0	0	0	0	0
CG32214	0	0	0	0	0	0	0	0	0	0	0	0
CG32219	0	0	0	0	0	0	0	0	0	0	0	0
CG3222	0	0	0	0	0	0	0	0	0	0	0	0
CG32221	0	0	0	0	0	0	0	0	0	0	0	0
CG32225	0	0	0	0	0	0	0	0	0	0	0	0
CG32228	0	0	0	0	0	0	0	0	0	0	0	0
CG3223	0	0	0	0	0	0	0	0	0	0	0	0
CG32232	0	0	0	0	0	0	0	0	0	0	0	0
CG32235	0	0	0	0	0	0	0	0	0	0	0	0
CG32236	0	0	0	0	0	0	0	0	0	0	0	0
CG32237	0	0	0	0	0	0	0	0	0	0	0	0
CG3224	0	0	0	0	0	0	0	0	0	0	0	0
CG32240	0	0	0	0	0	0	0	0	0	0	0	0
CG32241	0	0	0	0	0	0	0	0	0	0	0	0
CG32243	0	0	0	0	0	0	0	0	0	0	0	0
CG32246	0	0	0	0	0	0	0	0	0	0	0	0
CG32248	0	0	0	0	0	0	0	0	0	0	0	0
CG32249	0	0	0	0	0	0	0	0	0	0	0	0
CG3225	0	0	0	0	0	0	0	0	0	0	0	0
CG32259	0	0	0	0	0	0	0	0	0	0	0	0
CG3226	0	0	0	0	0	0	0	0	0	0	0	0
CG32260	0	0	0	0	0	0	0	0	0	0	0	0
CG32262	0	0	0	0	0	0	0	0	0	0	0	0
CG32263	0	0	0	0	0	0	0	0	0	0	0	0
CG32264	0	0	0	0	0	0	0	0	0	0	0	0
CG32266	0	0	0	0	0	0	0	0	0	0	0	0
CG32267	0	0	0	0	0	0	0	0	0	0	0	0
CG32269	0	0	0	0	0	0	0	0	0	0	0	0
CG32270	0	0	0	0	0	0	0	0	0	0	0	0
CG32271	0	0	0	0	0	0	0	0	0	0	0	0
CG32276	0	0	0	0	0	0	0	0	0	0	0	0
CG32277	0	0	0	0	0	0	0	0	0	0	0	0
CG32278	0	0	0	0	0	0	0	0	0	0	0	0
CG32280	0	0	0	0	0	0	0	0	0	0	0	0
CG32281	0	0	0	0	0	0	0	0	0	0	0	0
CG32284	0	0	0	0	0	0	0	0	0	0	0	0
CG32295	0	0	0	0	0	0	0	0	0	0	0	0
CG32298	0	0	0	0	0	0	0	0	0	0	0	0
CG32299	0	0	0	0	0	0	0	0	0	0	0	0
CG32301	0	0	0	0	0	0	0	0	0	0	0	0
CG32302	0	0	0	0	0	0	0	0	0	0	0	0
CG32305	0	0	0	0	0	0	0	0	0	0	0	0
CG32313	0	0	0	0	0	0	0	0	0	0	0	0
CG32318	0	0	0	0	0	0	0	0	0	0	0	0
CG32320	0	0	0	0	0	0	0	0	0	0	0	0
CG32333	0	0	0	0	0	0	0	0	0	0	0	0
CG32335	0	0	0	0	0	0	0	0	0	0	0	0
CG32344	0	0	0	0	0	0	0	0	0	0	0	0
CG32354	0	0	0	0	0	0	0	0	0	0	0	0
CG32365	0	0	0	0	0	0	0	0	0	0	0	0
CG32368	0	0	0	0	0	0	0	0	0	0	0	0
CG32369	0	0	0	0	0	0	0	0	0	0	0	0
CG32371	0	0	0	0	0	0	0	0	0	0	0	0
CG32373	0	0	0	0	0	0	0	0	0	0	0	0
CG32374	0	0	0	0	0	0	0	0	0	0	0	0
CG32376	0	0	0	0	0	0	0	0	0	0	0	0
CG32379	0	0	0	0	0	0	0	0	0	0	0	0
CG32388	0	0	0	0	0	0	0	0	0	0	0	0
CG32391	0	0	0	0	0	0	0	0	0	0	0	0
CG32392	0	0	0	0	0	0	0	0	0	0	0	0
CG32395	0	0	0	0	0	0	0	0	0	0	0	0
CG32396	0	0	0	0	0	0	0	0	0	0	0	0
CG32407	0	0	0	0	0	0	0	0	0	0	0	0
CG32409	0	0	0	0	0	0	0	0	0	0	0	0
CG32413	0	0	0	0	0	0	0	0	0	0	0	0
CG32425	0	0	0	0	0	0	0	0	0	0	0	0
CG32428	0	0	0	0	0	0	0	0	0	0	0	0
CG32432	0	0	0	0	0	0	0	0	0	0	0	0
CG32436	0	0	0	0	0	0	0	0	0	0	0	0
CG32437	0	0	0	0	0	0	0	0	0	0	0	0
CG32440	0	0	0	0	0	0	0	0	0	0	0	0
CG32441	0	0	0	0	0	0	0	0	0	0	0	0
CG32444	0	0	0	0	0	0	0	0	0	0	0	0
CG32445	0	0	0	0	0	0	0	0	0	0	0	0
CG32447	0	0	0	0	0	0	0	0	0	0	0	0
CG32448	0	0	0	0	0	0	0	0	0	0	0	0
CG32450	0	0	0	0	0	0	0	0	0	0	0	0
CG32452	0	0	0	0	0	0	0	0	0	0	0	0
CG32453	0	0	0	0	0	0	0	0	0	0	0	0
CG32454	0	0	0	0	0	0	0	0	0	0	0	0
CG32457	0	0	0	0	0	0	0	0	0	0	0	0
CG32459	0	0	0	0	0	0	0	0	0	0	0	0
CG3246	0	0	0	0	0	0	0	0	0	0	0	0
CG32461	0	0	0	0	0	0	0	0	0	0	0	0
CG32462	0	0	0	0	0	0	0	0	0	0	0	0
CG32473	0	0	0	0	0	0	0	0	0	0	0	0
CG32483	0	0	0	0	0	0	0	0	0	0	0	0
CG32485	0	0	0	0	0	0	0	0	0	0	0	0
CG32486	0	0	0	0	0	0	0	0	0	0	0	0
CG32487	0	0	0	0	0	0	0	0	0	0	0	0
CG32488	0	0	0	0	0	0	0	0	0	0	0	0
CG32500	0	0	0	0	0	0	0	0	0	0	0	0
CG32506	0	0	0	0	0	0	0	0	0	0	0	0
CG32507	0	0	0	0	0	0	0	0	0	0	0	0
CG3251	0	0	0	0	0	0	0	0	0	0	0	0
CG32512	0	0	0	0	0	0	0	0	0	0	0	0
CG32521	0	0	0	0	0	0	0	0	0	0	0	0
CG32523	0	0	0	0	0	0	0	0	0	0	0	0
CG3253	0	0	0	0	0	0	0	0	0	0	0	0
CG32532	0	0	0	0	0	0	0	0	0	0	0	0
CG32533	0	0	0	0	0	0	0	0	0	0	0	0
CG32536	0	0	0	0	0	0	0	0	0	0	0	0
CG32537	0	0	0	0	0	0	0	0	0	0	0	0
CG32544	0	0	0	0	0	0	0	0	0	0	0	0
CG32547	0	0	0	0	0	0	0	0	0	0	0	0
CG32548	0	0	0	0	0	0	0	0	0	0	0	0
CG32549	0	0	0	0	0	0	0	0	0	0	0	0
CG32551	0	0	0	0	0	0	0	0	0	0	0	0
CG32554	0	0	0	0	0	0	0	0	0	0	0	0
CG32563	0	0	0	0	0	0	0	0	0	0	0	0
CG32564	0	0	0	0	0	0	0	0	0	0	0	0
CG32568	0	0	0	0	0	0	0	0	0	0	0	0
CG3257	0	0	0	0	0	0	0	0	0	0	0	0
CG32572	0	0	0	0	0	0	0	0	0	0	0	0
CG32573	0	0	0	0	0	0	0	0	0	0	0	0
CG32576	0	0	0	0	0	0	0	0	0	0	0	0
CG32579	0	0	0	0	0	0	0	0	0	0	0	0
CG32581	0	0	0	0	0	0	0	0	0	0	0	0
CG32588	0	0	0	0	0	0	0	0	0	0	0	0
CG32590	0	0	0	0	0	0	0	0	0	0	0	0
CG32591	0	0	0	0	0	0	0	0	0	0	0	0
CG32599	0	0	0	0	0	0	0	0	0	0	0	0
CG32603	0	0	0	0	0	0	0	0	0	0	0	0
CG3262	0	0	0	0	0	0	0	0	0	0	0	0
CG32625	0	0	0	0	0	0	0	0	0	0	0	0
CG32631	0	0	0	0	0	0	0	0	0	0	0	0
CG32633	0	0	0	0	0	0	0	0	0	0	0	0
CG32638	0	0	0	0	0	0	0	0	0	0	0	0
CG32639	0	0	0	0	0	0	0	0	0	0	0	0
CG32640	0	0	0	0	0	0	0	0	0	0	0	0
CG32641	0	0	0	0	0	0	0	0	0	0	0	0
CG32642	0	0	0	0	0	0	0	0	0	0	0	0
CG32643	0	0	0	0	0	0	0	0	0	0	0	0
CG32645	0	0	0	0	0	0	0	0	0	0	0	0
CG32647	0	0	0	0	0	0	0	0	0	0	0	0
CG32650	0	0	0	0	0	0	0	0	0	0	0	0
CG32651	0	0	0	0	0	0	0	0	0	0	0	0
CG32655	0	0	0	0	0	0	0	0	0	0	0	0
CG32668	0	0	0	0	0	0	0	0	0	0	0	0
CG32669	0	0	0	0	0	0	0	0	0	0	0	0
CG32679	0	0	0	0	0	0	0	0	0	0	0	0
CG32681	0	0	0	0	0	0	0	0	0	0	0	0
CG32683	0	0	0	0	0	0	0	0	0	0	0	0
CG32686	0	0	0	0	0	0	0	0	0	0	0	0
CG32687	0	0	0	0	0	0	0	0	0	0	0	0
CG32694	0	0	0	0	0	0	0	0	0	0	0	0
CG32695	0	0	0	0	0	0	0	0	0	0	0	0
CG3270	0	0	0	0	0	0	0	0	0	0	0	0
CG32700	0	0	0	0	0	0	0	0	0	0	0	0
CG32706	0	0	0	0	0	0	0	0	0	0	0	0
CG32708	0	0	0	0	0	0	0	0	0	0	0	0
CG32712	0	0	0	0	0	0	0	0	0	0	0	0
CG32713	0	0	0	0	0	0	0	0	0	0	0	0
CG32718	0	0	0	0	0	0	0	0	0	0	0	0
CG32719	0	0	0	0	0	0	0	0	0	0	0	0
CG32720	0	0	0	0	0	0	0	0	0	0	0	0
CG32726	0	0	0	0	0	0	0	0	0	0	0	0
CG32727	0	0	0	0	0	0	0	0	0	0	0	0
CG32736	0	0	0	0	0	0	0	0	0	0	0	0
CG32750	0	0	0	0	0	0	0	0	0	0	0	0
CG32751	0	0	0	0	0	0	0	0	0	0	0	0
CG32755	0	0	0	0	0	0	0	0	0	0	0	0
CG32756	0	0	0	0	0	0	0	0	0	0	0	0
CG32758	0	0	0	0	0	0	0	0	0	0	0	0
CG32762	0	0	0	0	0	0	0	0	0	0	0	0
CG32767	0	0	0	0	0	0	0	0	0	0	0	0
CG3277	0	0	0	0	0	0	0	0	0	0	0	0
CG32772	0	0	0	0	0	0	0	0	0	0	0	0
CG32783	0	0	0	0	0	0	0	0	0	0	0	0
CG32786	0	0	0	0	0	0	0	0	0	0	0	0
CG32793	0	0	0	0	0	0	0	0	0	0	0	0
CG32795	0	0	0	0	0	0	0	0	0	0	0	0
CG32797	0	0	0	0	0	0	0	0	0	0	0	0
CG32801	0	0	0	0	0	0	0	0	0	0	0	0
CG32803	0	0	0	0	0	0	0	0	0	0	0	0
CG32806	0	0	0	0	0	0	0	0	0	0	0	0
CG32808	0	0	0	0	0	0	0	0	0	0	0	0
CG32809	0	0	0	0	0	0	0	0	0	0	0	0
CG3281	0	0	0	0	0	0	0	0	0	0	0	0
CG32811	0	0	0	0	0	0	0	0	0	0	0	0
